"No.","String","GRID","ACCESS_CM2","BCC-CSM2-MR","CMCC-CM2-SR5","EC-Earth3_r1i1p1f1","EC-Earth3_r3i1p1f1","EC-Earth3_r4i1p1f1","HadGEM3-GC31-LL","HadGEM3-GC31-MM","MIROC6","MPI-ESM1-2-HR_r1i1p1f1","MPI-ESM1-2-HR_r2i1p1f1","MPI-ESM1-2-LR","MRI-ESM2-0"
1,"E_Euro",75652,-0.695853199262793,-0.539942050263467,-0.570385504670289,-0.579223952602935,-0.613034728149942,-0.676630678088171,-0.353788740470157,-0.508115468028775,-0.84373944930494,-0.409533219965025,-0.411631306758012,-0.526321210838599,-0.453872029333551
2,"N_Afr",75653,-4.67189156961846,-5.01099250768586,-5.34051673699011,-5.21572825309954,-5.36972586839186,-5.30938656305816,-4.02344808532326,-4.1832933285959,-6.92637296789349,-5.12183760998941,-5.44527470947691,-5.34013691249606,-5.10623996417612
3,"SSA",75654,-17.2655059394518,-12.3170021384718,-13.7305134307496,-13.2798308460002,-11.8669180351065,-13.9156609054095,-12.6186524027926,-13.1783588456641,-11.7472646540412,-11.1034239170006,-9.98405908053975,-10.7640375867531,-15.0672684796678
4,"S_Amer",75655,-5.73946422045363,-5.15330510908345,-5.24637425449078,-4.3365597743397,-4.78088175414125,-5.5261846456079,-5.01398152597949,-5.06456654428965,-4.87289827992608,-6.03942566144271,-5.6136338030941,-5.88343954316949,-4.94841434939996
5,"AUS_NZ",75656,-0.945615479267932,-0.941626712006055,-0.977218633439757,-0.731887107726502,-0.983990678628672,-1.02462289315256,-0.826785169980386,-0.907888762376268,-1.02125298857797,-1.1072291327291,-1.0081661717879,-1.03425901911243,-1.03070282344153
6,"EU",75657,-0.531616426881347,-0.538722298843458,-0.610840501934735,-0.692131588659276,-0.673006237008752,-0.564862420227144,-0.362633857265852,-0.412064940078983,-1.10655815001734,-0.570217052882994,-0.53215408512949,-0.56222544340084,-0.606701745193176
7,"S_Asia",75658,-17.1476252780425,-16.7168139645371,-15.8876108523297,-14.8715626152948,-15.0300772076507,-16.7229942236578,-14.8731545326232,-16.2177696672905,-15.0619829612003,-17.452735775047,-16.6753465214913,-17.1331047355017,-16.7755493251256
8,"CC_Amer",75659,-8.80277775232903,-7.71804192481781,-8.1685440397935,-8.69709399038189,-8.88974590226663,-9.21193066894054,-7.57754420915265,-7.91636626125622,-10.187404881047,-8.87234247669489,-8.60312818482957,-8.80498658656202,-8.25477029064929
9,"S_Afr",75660,-1.45693018427643,-1.32623434593001,-1.11615537339947,-0.895193442410174,-1.24232000836616,-1.37751530843171,-1.24085362035023,-1.21797944895584,-1.48522418333148,-1.58893971915194,-1.41383808696214,-1.45418439425392,-1.54916709132532
10,"SE_Asia",75661,-18.7367584745686,-18.2532223422084,-17.0326062467674,-17.064471091302,-17.5061694621071,-20.0700104291221,-16.8368084869294,-17.0418333215602,-15.0325130517318,-17.8958773846883,-17.151842929387,-18.1822916832102,-18.6093074159036
11,"CAN",75662,-0.4791803,-0.3990333,-0.3618628,-0.2980823,-0.308387,-0.3407651,-0.3243328,-0.3357881,-0.4393808,-0.3155225,-0.2719378,-0.3698901,-0.3621085
12,"US",NA,-3.2083278,-3.2114036,-2.6214315,-2.9661421,-2.7299786,-2.763201,-2.4339842,-2.9144783,-3.6230123,-2.8286264,-2.8332842,-3.3631983,-3.2135077
13,"CHN_MNG",75663,-7.95293128302021,-7.60498287667917,-6.56516252591135,-6.61821092403296,-6.97045832052275,-6.89892898990825,-6.54488569210323,-7.17370262843638,-5.9373494991443,-5.86225528801234,-6.16280679984939,-6.5236820998339,-6.990751295471
14,"M_East",75664,-4.85373620842103,-4.7787408129738,-4.86019454700157,-4.63189671815635,-4.89617897863961,-4.8807865906796,-3.85659549653408,-3.97824344664762,-5.68033939356578,-5.00997169446963,-4.72835136447465,-5.18418029538017,-5.02981918824016
15,"JPN_KR",75665,-2.93499477467733,-2.82992463535764,-1.7648284505309,-2.01433736491137,-2.1348417141897,-1.93015227542716,-1.96336948584172,-2.97934228453883,-2.30361142073004,-1.75696696494792,-1.87632965819682,-1.68270311395244,-2.29743021204933
16,"C_Asia",75666,-2.61492578950234,-2.48595608754572,-2.34156886510223,-2.53833586816193,-2.27537785864053,-2.64803386069267,-1.93119099794186,-1.89834033106905,-2.66229473277925,-2.07815319749557,-2.12331257494754,-2.29487042661684,-2.03810594556597
